,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_base,0.0,2310.0,2310.0,1435.0,1871.0,2751.0,3410.0,4730.0,2750.0,2970.0,4070.0,4290.0,2310.0,2750.0,2750.0,2530.0,4070.0,2531.0,2530.0,2750.0,3190.0,4512.0,3410.0,3410.0,2970.0,3851.0,2530.0,3630.0,3850.0,3850.0,1870.0,2752.0,3410.0,4290.0,2530.0,4290.0,4290.0,3850.0,2751.0,3190.0,4510.0,3850.0,2310.0,3850.0,3850.0,3630.0,3410.0,4070.0,3630.0,2970.0,3960.0,6380.0
G_1,2310.0,0.0,9.0,886.0,448.0,445.0,1104.0,2426.0,440.0,662.0,1762.0,1986.0,6.0,440.0,448.0,225.0,1760.0,230.0,230.0,440.0,885.0,2203.0,1108.0,1104.0,667.0,1542.0,228.0,1320.0,1540.0,1540.0,442.0,446.0,1106.0,1980.0,222.0,1986.0,1980.0,1542.0,448.0,889.0,2201.0,1546.0,10.0,1540.0,1542.0,1326.0,1102.0,1760.0,1321.0,660.0,1650.0,4070.0
G_2,2310.0,9.0,0.0,884.0,446.0,445.0,1104.0,2420.0,445.0,661.0,1764.0,1982.0,7.0,445.0,445.0,228.0,1762.0,226.0,226.0,445.0,888.0,2202.0,1104.0,1104.0,664.0,1543.0,224.0,1321.0,1541.0,1545.0,443.0,447.0,1104.0,1981.0,225.0,1984.0,1982.0,1544.0,445.0,886.0,2200.0,1544.0,7.0,1545.0,1544.0,1324.0,1105.0,1763.0,1322.0,665.0,1654.0,4070.0
G_3,1435.0,886.0,884.0,0.0,442.0,1324.0,1980.0,3302.0,1324.0,1543.0,2640.0,2862.0,884.0,1324.0,1323.0,1103.0,2642.0,1103.0,1102.0,1322.0,1761.0,3082.0,1982.0,1982.0,1542.0,2423.0,1102.0,2203.0,2423.0,2423.0,446.0,1324.0,1982.0,2861.0,1104.0,2862.0,2862.0,2422.0,1322.0,1763.0,3080.0,2422.0,881.0,2423.0,2420.0,2202.0,1983.0,2641.0,2203.0,1543.0,2532.0,4950.0
G_4,1871.0,448.0,446.0,442.0,0.0,884.0,1542.0,2862.0,886.0,1105.0,2204.0,2420.0,444.0,886.0,885.0,665.0,2200.0,663.0,664.0,886.0,1323.0,2642.0,1542.0,1542.0,1102.0,1985.0,662.0,1765.0,1985.0,1983.0,6.0,886.0,1542.0,2425.0,666.0,2422.0,2422.0,1982.0,882.0,1325.0,2640.0,1982.0,445.0,1985.0,1984.0,1762.0,1545.0,2205.0,1763.0,1103.0,2094.0,4510.0
G_5,2751.0,445.0,445.0,1324.0,884.0,0.0,664.0,1986.0,5.0,229.0,1322.0,1550.0,441.0,7.0,13.0,229.0,1322.0,228.0,230.0,7.0,447.0,1764.0,668.0,668.0,230.0,1103.0,226.0,885.0,1103.0,1101.0,881.0,7.0,670.0,1543.0,223.0,1548.0,1540.0,1100.0,11.0,455.0,1762.0,1110.0,447.0,1103.0,1102.0,890.0,669.0,1325.0,883.0,227.0,1212.0,3630.0
G_6,3410.0,1104.0,1104.0,1980.0,1542.0,664.0,0.0,1327.0,664.0,446.0,662.0,889.0,1102.0,666.0,664.0,887.0,669.0,884.0,885.0,664.0,227.0,1108.0,8.0,8.0,447.0,445.0,883.0,232.0,447.0,444.0,1540.0,664.0,13.0,883.0,882.0,887.0,882.0,442.0,666.0,232.0,1106.0,451.0,1100.0,445.0,442.0,233.0,7.0,663.0,230.0,448.0,554.0,2970.0
G_7,4730.0,2426.0,2420.0,3302.0,2862.0,1986.0,1327.0,0.0,1988.0,1764.0,671.0,442.0,2424.0,1986.0,1980.0,2206.0,672.0,2200.0,2200.0,1988.0,1550.0,235.0,1322.0,1327.0,1761.0,888.0,2200.0,1106.0,888.0,890.0,2860.0,1987.0,1320.0,452.0,2205.0,442.0,450.0,888.0,1981.0,1541.0,233.0,880.0,2422.0,888.0,891.0,1100.0,1326.0,670.0,1108.0,1768.0,778.0,1650.0
G_8,2750.0,440.0,445.0,1324.0,886.0,5.0,664.0,1988.0,0.0,224.0,1322.0,1550.0,442.0,2.0,12.0,227.0,1322.0,230.0,230.0,2.0,447.0,1765.0,670.0,666.0,231.0,1102.0,228.0,882.0,1100.0,1100.0,882.0,6.0,670.0,1540.0,221.0,1548.0,1540.0,1102.0,12.0,453.0,1763.0,1110.0,446.0,1100.0,1102.0,890.0,664.0,1320.0,883.0,222.0,1210.0,3630.0
G_9,2970.0,662.0,661.0,1543.0,1105.0,229.0,446.0,1764.0,224.0,0.0,1106.0,1328.0,666.0,224.0,228.0,447.0,1104.0,448.0,448.0,224.0,233.0,1545.0,452.0,450.0,13.0,884.0,446.0,662.0,880.0,884.0,1102.0,228.0,452.0,1320.0,443.0,1330.0,1322.0,886.0,230.0,233.0,1543.0,890.0,662.0,884.0,886.0,672.0,446.0,1102.0,665.0,6.0,994.0,3410.0
