,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31
G_base,0.0,210.0,210.0,210.0,210.0,210.0,840.0,210.0,0.0,210.0,0.0,210.0,630.0,420.0,210.0,420.0,210.0,210.0,420.0,210.0,420.0,0.0,0.0,420.0,420.0,420.0,420.0,210.0,210.0,0.0,1.0,12180.0
G_1,210.0,0.0,1.0,420.0,1.0,0.0,1050.0,1.0,210.0,1.0,210.0,420.0,840.0,212.0,1.0,212.0,1.0,0.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,1.0,1.0,210.0,211.0,12390.0
G_2,210.0,1.0,0.0,420.0,1.0,1.0,1050.0,1.0,210.0,1.0,210.0,420.0,840.0,212.0,1.0,212.0,1.0,1.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,1.0,1.0,210.0,211.0,12390.0
G_3,210.0,420.0,420.0,0.0,420.0,420.0,631.0,420.0,210.0,420.0,210.0,2.0,422.0,630.0,420.0,630.0,420.0,420.0,630.0,1.0,630.0,210.0,210.0,630.0,630.0,630.0,630.0,420.0,420.0,210.0,211.0,11970.0
G_4,210.0,1.0,1.0,420.0,0.0,1.0,1050.0,1.0,210.0,1.0,210.0,420.0,840.0,212.0,1.0,212.0,1.0,1.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,1.0,0.0,210.0,211.0,12390.0
G_5,210.0,0.0,1.0,420.0,1.0,0.0,1050.0,1.0,210.0,1.0,210.0,420.0,840.0,212.0,1.0,212.0,1.0,0.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,1.0,1.0,210.0,211.0,12390.0
G_6,840.0,1050.0,1050.0,631.0,1050.0,1050.0,0.0,1050.0,840.0,1050.0,840.0,631.0,216.0,1260.0,1050.0,1260.0,1050.0,1050.0,1260.0,630.0,1260.0,840.0,840.0,1260.0,1260.0,1260.0,1260.0,1050.0,1050.0,840.0,841.0,11340.0
G_7,210.0,1.0,1.0,420.0,1.0,1.0,1050.0,0.0,210.0,1.0,210.0,420.0,840.0,212.0,1.0,212.0,1.0,1.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,1.0,1.0,210.0,211.0,12390.0
G_8,0.0,210.0,210.0,210.0,210.0,210.0,840.0,210.0,0.0,210.0,0.0,210.0,630.0,420.0,210.0,420.0,210.0,210.0,420.0,210.0,420.0,0.0,0.0,420.0,420.0,420.0,420.0,210.0,210.0,0.0,1.0,12180.0
G_9,210.0,1.0,1.0,420.0,1.0,1.0,1050.0,1.0,210.0,0.0,210.0,420.0,840.0,212.0,1.0,212.0,1.0,1.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,0.0,1.0,210.0,211.0,12390.0
G_10,0.0,210.0,210.0,210.0,210.0,210.0,840.0,210.0,0.0,210.0,0.0,210.0,630.0,420.0,210.0,420.0,210.0,210.0,420.0,210.0,420.0,0.0,0.0,420.0,420.0,420.0,420.0,210.0,210.0,0.0,1.0,12180.0
G_11,210.0,420.0,420.0,2.0,420.0,420.0,631.0,420.0,210.0,420.0,210.0,0.0,422.0,630.0,420.0,630.0,420.0,420.0,630.0,2.0,630.0,210.0,210.0,630.0,630.0,630.0,630.0,420.0,420.0,210.0,211.0,11970.0
G_12,630.0,840.0,840.0,422.0,840.0,840.0,216.0,840.0,630.0,840.0,630.0,422.0,0.0,1050.0,840.0,1050.0,840.0,840.0,1050.0,422.0,1050.0,630.0,630.0,1050.0,1050.0,1050.0,1050.0,840.0,840.0,630.0,631.0,11550.0
G_13,420.0,212.0,212.0,630.0,212.0,212.0,1260.0,212.0,420.0,212.0,420.0,630.0,1050.0,0.0,212.0,2.0,212.0,212.0,0.0,630.0,2.0,420.0,420.0,2.0,2.0,2.0,2.0,212.0,212.0,420.0,421.0,12600.0
G_14,210.0,1.0,1.0,420.0,1.0,1.0,1050.0,1.0,210.0,1.0,210.0,420.0,840.0,212.0,0.0,212.0,1.0,1.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,1.0,1.0,210.0,211.0,12390.0
G_15,420.0,212.0,212.0,630.0,212.0,212.0,1260.0,212.0,420.0,212.0,420.0,630.0,1050.0,2.0,212.0,0.0,212.0,212.0,2.0,630.0,2.0,420.0,420.0,2.0,0.0,0.0,2.0,212.0,212.0,420.0,421.0,12600.0
G_16,210.0,1.0,1.0,420.0,1.0,1.0,1050.0,1.0,210.0,1.0,210.0,420.0,840.0,212.0,1.0,212.0,0.0,1.0,212.0,420.0,211.0,210.0,210.0,211.0,212.0,212.0,211.0,1.0,1.0,210.0,211.0,12390.0
