,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11
G_base,0.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,4920.0,2460.0,2460.0,2462.0,142680.0
G_1,2460.0,0.0,2.0,4920.0,2.0,1.0,4920.0,2462.0,4920.0,4920.0,4922.0,140220.0
G_2,2460.0,2.0,0.0,4920.0,1.0,2.0,4920.0,2461.0,4920.0,4920.0,4922.0,140220.0
G_3,2460.0,4920.0,4920.0,0.0,4920.0,4920.0,1.0,7380.0,1.0,1.0,4.0,145140.0
G_4,2460.0,2.0,1.0,4920.0,0.0,2.0,4920.0,2461.0,4920.0,4920.0,4922.0,140220.0
G_5,2460.0,1.0,2.0,4920.0,2.0,0.0,4920.0,2462.0,4920.0,4920.0,4922.0,140220.0
G_6,2460.0,4920.0,4920.0,1.0,4920.0,4920.0,0.0,7380.0,1.0,1.0,4.0,145140.0
G_7,4920.0,2462.0,2461.0,7380.0,2461.0,2462.0,7380.0,0.0,7380.0,7380.0,7382.0,137760.0
G_8,2460.0,4920.0,4920.0,1.0,4920.0,4920.0,1.0,7380.0,0.0,0.0,4.0,145140.0
G_9,2460.0,4920.0,4920.0,1.0,4920.0,4920.0,1.0,7380.0,0.0,0.0,4.0,145140.0
G_10,2462.0,4922.0,4922.0,4.0,4922.0,4922.0,4.0,7382.0,4.0,4.0,0.0,145140.0
G_11,142680.0,140220.0,140220.0,145140.0,140220.0,140220.0,145140.0,137760.0,145140.0,145140.0,145140.0,0.0
