,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31
G_base,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_1,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_2,634.0,634.0,0.0,424.0,634.0,635.0,428.0,8.0,843.0,634.0,7.0,425.0,426.0,634.0,1054.0,843.0,843.0,220.0,1054.0,843.0,634.0,634.0,844.0,216.0,425.0,635.0,634.0,1054.0,844.0,424.0,428.0,11550.0
G_3,210.0,210.0,424.0,0.0,210.0,212.0,840.0,420.0,420.0,210.0,421.0,1.0,2.0,210.0,630.0,420.0,420.0,632.0,630.0,420.0,210.0,210.0,420.0,211.0,1.0,211.0,210.0,630.0,420.0,0.0,4.0,11970.0
G_4,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_5,2.0,2.0,635.0,212.0,2.0,0.0,1050.0,632.0,210.0,2.0,632.0,212.0,212.0,2.0,422.0,211.0,211.0,842.0,422.0,211.0,2.0,2.0,212.0,422.0,212.0,3.0,2.0,422.0,212.0,212.0,212.0,12180.0
G_6,1050.0,1050.0,428.0,840.0,1050.0,1050.0,0.0,423.0,1260.0,1050.0,425.0,841.0,840.0,1050.0,1470.0,1260.0,1260.0,217.0,1470.0,1260.0,1050.0,1050.0,1260.0,633.0,841.0,1051.0,1050.0,1470.0,1260.0,840.0,841.0,11130.0
G_7,630.0,630.0,8.0,420.0,630.0,632.0,423.0,0.0,840.0,630.0,5.0,421.0,421.0,630.0,1050.0,840.0,840.0,214.0,1050.0,840.0,630.0,630.0,840.0,213.0,421.0,631.0,630.0,1050.0,840.0,420.0,423.0,11550.0
G_8,210.0,210.0,843.0,420.0,210.0,210.0,1260.0,840.0,0.0,210.0,840.0,420.0,420.0,210.0,212.0,1.0,1.0,1050.0,212.0,1.0,210.0,210.0,2.0,630.0,420.0,211.0,210.0,212.0,2.0,420.0,422.0,12390.0
G_9,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_10,630.0,630.0,7.0,421.0,630.0,632.0,425.0,5.0,840.0,630.0,0.0,421.0,422.0,630.0,1050.0,840.0,840.0,216.0,1050.0,840.0,630.0,630.0,840.0,212.0,420.0,631.0,630.0,1050.0,840.0,421.0,424.0,11550.0
G_11,210.0,210.0,425.0,1.0,210.0,212.0,841.0,421.0,420.0,210.0,421.0,0.0,2.0,210.0,630.0,420.0,420.0,632.0,630.0,420.0,210.0,210.0,420.0,211.0,1.0,211.0,210.0,630.0,420.0,1.0,4.0,11970.0
G_12,210.0,210.0,426.0,2.0,210.0,212.0,840.0,421.0,420.0,210.0,422.0,2.0,0.0,210.0,630.0,420.0,420.0,631.0,630.0,420.0,210.0,210.0,420.0,212.0,2.0,211.0,210.0,630.0,420.0,2.0,3.0,11970.0
G_13,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_14,420.0,420.0,1054.0,630.0,420.0,422.0,1470.0,1050.0,212.0,420.0,1050.0,630.0,630.0,420.0,0.0,212.0,212.0,1260.0,0.0,212.0,420.0,420.0,212.0,840.0,630.0,421.0,420.0,2.0,211.0,630.0,631.0,12600.0
G_15,210.0,210.0,843.0,420.0,210.0,211.0,1260.0,840.0,1.0,210.0,840.0,420.0,420.0,210.0,212.0,0.0,1.0,1050.0,212.0,1.0,210.0,210.0,2.0,630.0,420.0,211.0,210.0,212.0,2.0,420.0,422.0,12390.0
G_16,210.0,210.0,843.0,420.0,210.0,211.0,1260.0,840.0,1.0,210.0,840.0,420.0,420.0,210.0,212.0,1.0,0.0,1050.0,212.0,1.0,210.0,210.0,2.0,630.0,420.0,211.0,210.0,212.0,2.0,420.0,422.0,12390.0
G_17,840.0,840.0,220.0,632.0,840.0,842.0,217.0,214.0,1050.0,840.0,216.0,632.0,631.0,840.0,1260.0,1050.0,1050.0,0.0,1260.0,1050.0,840.0,840.0,1050.0,424.0,632.0,841.0,840.0,1260.0,1050.0,632.0,632.0,11340.0
G_18,420.0,420.0,1054.0,630.0,420.0,422.0,1470.0,1050.0,212.0,420.0,1050.0,630.0,630.0,420.0,0.0,212.0,212.0,1260.0,0.0,212.0,420.0,420.0,212.0,840.0,630.0,421.0,420.0,2.0,211.0,630.0,631.0,12600.0
G_19,210.0,210.0,843.0,420.0,210.0,211.0,1260.0,840.0,1.0,210.0,840.0,420.0,420.0,210.0,212.0,1.0,1.0,1050.0,212.0,0.0,210.0,210.0,2.0,630.0,420.0,211.0,210.0,212.0,2.0,420.0,422.0,12390.0
G_20,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_21,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_22,210.0,210.0,844.0,420.0,210.0,212.0,1260.0,840.0,2.0,210.0,840.0,420.0,420.0,210.0,212.0,2.0,2.0,1050.0,212.0,2.0,210.0,210.0,0.0,630.0,420.0,211.0,210.0,211.0,2.0,420.0,422.0,12390.0
G_23,420.0,420.0,216.0,211.0,420.0,422.0,633.0,213.0,630.0,420.0,212.0,211.0,212.0,420.0,840.0,630.0,630.0,424.0,840.0,630.0,420.0,420.0,630.0,0.0,211.0,421.0,420.0,840.0,630.0,211.0,214.0,11760.0
G_24,210.0,210.0,425.0,1.0,210.0,212.0,841.0,421.0,420.0,210.0,420.0,1.0,2.0,210.0,630.0,420.0,420.0,632.0,630.0,420.0,210.0,210.0,420.0,211.0,0.0,211.0,210.0,630.0,420.0,1.0,4.0,11970.0
G_25,1.0,1.0,635.0,211.0,1.0,3.0,1051.0,631.0,211.0,1.0,631.0,211.0,211.0,1.0,421.0,211.0,211.0,841.0,421.0,211.0,1.0,1.0,211.0,421.0,211.0,0.0,1.0,421.0,211.0,211.0,213.0,12180.0
G_26,0.0,0.0,634.0,210.0,0.0,2.0,1050.0,630.0,210.0,0.0,630.0,210.0,210.0,0.0,420.0,210.0,210.0,840.0,420.0,210.0,0.0,0.0,210.0,420.0,210.0,1.0,0.0,420.0,210.0,210.0,212.0,12180.0
G_27,420.0,420.0,1054.0,630.0,420.0,422.0,1470.0,1050.0,212.0,420.0,1050.0,630.0,630.0,420.0,2.0,212.0,212.0,1260.0,2.0,212.0,420.0,420.0,211.0,840.0,630.0,421.0,420.0,0.0,212.0,630.0,632.0,12600.0
G_28,210.0,210.0,844.0,420.0,210.0,212.0,1260.0,840.0,2.0,210.0,840.0,420.0,420.0,210.0,211.0,2.0,2.0,1050.0,211.0,2.0,210.0,210.0,2.0,630.0,420.0,211.0,210.0,212.0,0.0,420.0,421.0,12390.0
G_29,210.0,210.0,424.0,0.0,210.0,212.0,840.0,420.0,420.0,210.0,421.0,1.0,2.0,210.0,630.0,420.0,420.0,632.0,630.0,420.0,210.0,210.0,420.0,211.0,1.0,211.0,210.0,630.0,420.0,0.0,4.0,11970.0
G_30,212.0,212.0,428.0,4.0,212.0,212.0,841.0,423.0,422.0,212.0,424.0,4.0,3.0,212.0,631.0,422.0,422.0,632.0,631.0,422.0,212.0,212.0,422.0,214.0,4.0,213.0,212.0,632.0,421.0,4.0,0.0,11970.0
G_31,12180.0,12180.0,11550.0,11970.0,12180.0,12180.0,11130.0,11550.0,12390.0,12180.0,11550.0,11970.0,11970.0,12180.0,12600.0,12390.0,12390.0,11340.0,12600.0,12390.0,12180.0,12180.0,12390.0,11760.0,11970.0,12180.0,12180.0,12600.0,12390.0,11970.0,11970.0,0.0
