,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_base,0.0,346.0,282.0,392.0,3517.0,476.0,100.0,248.0,3415.0,3616.0,3545.0,1884.0,3553.0,286.0,3220.0,2161.0,352.0,2.0,1817.0,3652.0,315.0,438.0,3371.0,3296.0,3220.0,300.0,265.0,336.0,1947.0,1817.0,0.0,1986.0,5042.0,42.0,2.0,417.0,1940.0,417.0,322.0,282.0,518.0,2226.0,327.0,2004.0,4.0,334.0,653.0,50.0,4.0,1949.0,3377.0,83628.0
G_1,346.0,0.0,563.0,692.0,3763.0,757.0,399.0,538.0,3695.0,3767.0,3586.0,2105.0,3779.0,597.0,3516.0,2280.0,657.0,344.0,2074.0,3736.0,623.0,402.0,3636.0,3596.0,3516.0,573.0,543.0,556.0,2113.0,2074.0,346.0,2227.0,5175.0,345.0,344.0,424.0,2244.0,424.0,610.0,563.0,783.0,2307.0,634.0,2095.0,350.0,606.0,656.0,396.0,350.0,2040.0,3623.0,83825.0
G_2,282.0,563.0,0.0,566.0,3415.0,384.0,250.0,337.0,3578.0,3598.0,3746.0,1789.0,3436.0,516.0,3392.0,2067.0,533.0,280.0,1957.0,3479.0,529.0,548.0,3520.0,3570.0,3392.0,196.0,158.0,181.0,1761.0,1957.0,282.0,2118.0,4975.0,322.0,280.0,451.0,2121.0,451.0,501.0,0.0,393.0,2128.0,538.0,2003.0,286.0,572.0,679.0,236.0,286.0,2025.0,3502.0,83773.0
G_3,392.0,692.0,566.0,0.0,3745.0,596.0,450.0,458.0,3401.0,3645.0,3791.0,2100.0,3717.0,216.0,3492.0,2105.0,270.0,394.0,1901.0,3798.0,197.0,761.0,3440.0,3678.0,3492.0,575.0,552.0,607.0,2213.0,1901.0,392.0,1793.0,5288.0,434.0,394.0,698.0,1901.0,698.0,286.0,566.0,613.0,2325.0,201.0,2272.0,396.0,346.0,879.0,420.0,396.0,2220.0,3507.0,83788.0
G_4,3517.0,3763.0,3415.0,3745.0,0.0,3558.0,3511.0,3527.0,513.0,541.0,6979.0,1798.0,146.0,3659.0,301.0,2072.0,3655.0,3515.0,2031.0,312.0,3675.0,3743.0,416.0,6809.0,301.0,3356.0,3375.0,3380.0,1896.0,2031.0,3517.0,2161.0,1824.0,3557.0,3515.0,3644.0,2156.0,3644.0,3718.0,3415.0,3431.0,2073.0,3684.0,5213.0,3517.0,3740.0,3843.0,3467.0,3517.0,5258.0,405.0,87078.0
G_5,476.0,757.0,384.0,596.0,3558.0,0.0,475.0,448.0,3638.0,3734.0,3893.0,2002.0,3552.0,613.0,3608.0,2139.0,613.0,474.0,2027.0,3620.0,596.0,773.0,3623.0,3754.0,3608.0,397.0,361.0,399.0,2039.0,2027.0,476.0,2171.0,5213.0,516.0,474.0,690.0,2167.0,690.0,541.0,384.0,477.0,2255.0,623.0,2206.0,480.0,639.0,884.0,448.0,480.0,2229.0,3611.0,83716.0
G_6,100.0,399.0,250.0,450.0,3511.0,475.0,0.0,251.0,3462.0,3614.0,3574.0,1857.0,3526.0,354.0,3275.0,2107.0,407.0,99.0,1826.0,3600.0,384.0,436.0,3393.0,3392.0,3275.0,272.0,243.0,304.0,1878.0,1826.0,100.0,2017.0,5037.0,141.0,99.0,367.0,1998.0,367.0,385.0,250.0,489.0,2166.0,396.0,1953.0,104.0,409.0,620.0,72.0,104.0,1912.0,3389.0,83652.0
G_7,248.0,538.0,337.0,458.0,3527.0,448.0,251.0,0.0,3481.0,3636.0,3745.0,1887.0,3488.0,412.0,3397.0,2111.0,419.0,247.0,1844.0,3575.0,393.0,568.0,3360.0,3540.0,3397.0,317.0,308.0,364.0,1988.0,1844.0,248.0,2021.0,5138.0,289.0,247.0,428.0,2018.0,428.0,412.0,337.0,437.0,2153.0,415.0,1974.0,252.0,444.0,655.0,233.0,252.0,1977.0,3387.0,83838.0
G_8,3415.0,3695.0,3578.0,3401.0,513.0,3638.0,3462.0,3481.0,0.0,438.0,6731.0,2003.0,489.0,3363.0,258.0,2101.0,3420.0,3417.0,1794.0,556.0,3328.0,3667.0,216.0,6705.0,258.0,3587.0,3579.0,3625.0,2067.0,1794.0,3415.0,1833.0,2043.0,3451.0,3417.0,3590.0,1889.0,3590.0,3332.0,3578.0,3689.0,2258.0,3342.0,5204.0,3415.0,3404.0,3801.0,3445.0,3415.0,5151.0,262.0,86819.0
G_9,3616.0,3767.0,3598.0,3645.0,541.0,3734.0,3614.0,3636.0,438.0,0.0,6963.0,2063.0,513.0,3537.0,405.0,1923.0,3525.0,3614.0,1999.0,552.0,3530.0,3784.0,469.0,6890.0,405.0,3631.0,3594.0,3645.0,2061.0,1999.0,3616.0,1980.0,2108.0,3642.0,3614.0,3670.0,2047.0,3670.0,3601.0,3598.0,3707.0,2257.0,3540.0,5269.0,3614.0,3650.0,3888.0,3605.0,3614.0,5233.0,437.0,87042.0
