,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,106.0,90.0,16.0,62.0,12.0,64.0,67.0,130.0,184.0,93.0,27.0,68.0,145.0,47.0,88.0,302.0,203.0,32.0,50.0,171.0,133.0,146.0,212.0,11.0,224.0,28.0,249.0,129.0,50.0,164.0,13.0,29.0,118.0,30.0,88.0,48.0,126.0,109.0,244.0,11.0,1460.0
G_1,106.0,0.0,191.0,113.0,49.0,114.0,48.0,167.0,229.0,285.0,188.0,130.0,51.0,245.0,146.0,190.0,404.0,107.0,90.0,70.0,74.0,231.0,51.0,113.0,108.0,327.0,132.0,152.0,228.0,72.0,268.0,107.0,130.0,20.0,86.0,30.0,146.0,229.0,209.0,347.0,108.0,1560.0
G_2,90.0,191.0,0.0,100.0,149.0,88.0,150.0,36.0,48.0,113.0,18.0,74.0,147.0,74.0,54.0,16.0,231.0,289.0,115.0,132.0,258.0,52.0,226.0,296.0,93.0,141.0,72.0,333.0,50.0,134.0,91.0,88.0,74.0,201.0,114.0,171.0,57.0,51.0,37.0,167.0,97.0,1380.0
G_3,16.0,113.0,100.0,0.0,73.0,21.0,72.0,74.0,135.0,188.0,93.0,35.0,80.0,148.0,50.0,94.0,304.0,202.0,39.0,60.0,172.0,139.0,150.0,211.0,19.0,227.0,37.0,250.0,131.0,50.0,174.0,15.0,36.0,112.0,34.0,89.0,52.0,140.0,111.0,245.0,15.0,1460.0
G_4,62.0,49.0,149.0,73.0,0.0,72.0,7.0,126.0,187.0,243.0,152.0,87.0,12.0,205.0,104.0,146.0,362.0,146.0,53.0,32.0,113.0,191.0,87.0,154.0,71.0,284.0,88.0,190.0,187.0,32.0,225.0,71.0,87.0,60.0,51.0,31.0,107.0,185.0,167.0,303.0,70.0,1520.0
G_5,12.0,114.0,88.0,21.0,72.0,0.0,71.0,72.0,131.0,188.0,98.0,36.0,70.0,150.0,53.0,90.0,303.0,211.0,36.0,54.0,180.0,130.0,151.0,218.0,15.0,224.0,30.0,257.0,125.0,56.0,167.0,13.0,36.0,121.0,36.0,92.0,56.0,130.0,108.0,246.0,19.0,1460.0
G_6,64.0,48.0,150.0,72.0,7.0,71.0,0.0,128.0,186.0,243.0,149.0,89.0,13.0,204.0,104.0,149.0,362.0,144.0,52.0,33.0,111.0,191.0,85.0,154.0,69.0,284.0,89.0,191.0,185.0,31.0,228.0,68.0,88.0,58.0,49.0,27.0,106.0,186.0,167.0,304.0,70.0,1520.0
G_7,67.0,167.0,36.0,74.0,126.0,72.0,128.0,0.0,74.0,125.0,36.0,49.0,129.0,90.0,28.0,30.0,246.0,265.0,93.0,111.0,235.0,75.0,209.0,273.0,73.0,169.0,49.0,313.0,69.0,105.0,111.0,71.0,55.0,177.0,90.0,148.0,29.0,74.0,49.0,190.0,72.0,1400.0
G_8,130.0,229.0,48.0,135.0,187.0,131.0,186.0,74.0,0.0,75.0,57.0,112.0,187.0,38.0,90.0,54.0,193.0,327.0,152.0,170.0,292.0,15.0,261.0,333.0,132.0,106.0,113.0,368.0,10.0,172.0,55.0,125.0,111.0,236.0,152.0,208.0,93.0,13.0,36.0,131.0,135.0,1340.0
G_9,184.0,285.0,113.0,188.0,243.0,188.0,243.0,125.0,75.0,0.0,113.0,166.0,244.0,53.0,143.0,111.0,130.0,382.0,212.0,227.0,350.0,78.0,325.0,388.0,191.0,54.0,166.0,430.0,69.0,224.0,36.0,186.0,169.0,293.0,205.0,265.0,149.0,77.0,89.0,72.0,188.0,1280.0
G_10,93.0,188.0,18.0,93.0,152.0,98.0,149.0,36.0,57.0,113.0,0.0,74.0,155.0,67.0,52.0,19.0,230.0,286.0,110.0,134.0,253.0,62.0,230.0,292.0,91.0,148.0,78.0,329.0,53.0,130.0,99.0,88.0,77.0,195.0,111.0,169.0,52.0,58.0,37.0,171.0,94.0,1380.0
G_11,27.0,130.0,74.0,35.0,87.0,36.0,89.0,49.0,112.0,166.0,74.0,0.0,94.0,131.0,28.0,71.0,284.0,226.0,55.0,76.0,195.0,116.0,170.0,233.0,37.0,206.0,12.0,272.0,111.0,72.0,148.0,33.0,15.0,137.0,51.0,110.0,31.0,111.0,93.0,227.0,32.0,1440.0
G_12,68.0,51.0,147.0,80.0,12.0,70.0,13.0,129.0,187.0,244.0,155.0,94.0,0.0,208.0,111.0,149.0,363.0,150.0,54.0,32.0,119.0,188.0,91.0,158.0,71.0,283.0,91.0,192.0,183.0,38.0,225.0,68.0,90.0,63.0,55.0,37.0,112.0,187.0,167.0,305.0,77.0,1520.0
