,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,6469.0,8666.0,838.0,1538.0,3622.0,3657.0,3640.0,4377.0,2962.0,3622.0,5046.0,6527.0,137.0,3652.0,829.0,2969.0,5729.0,3645.0,3627.0,5099.0,39910.0
G_1,6469.0,0.0,15025.0,7203.0,5087.0,2957.0,10031.0,2958.0,10742.0,9323.0,2956.0,1536.0,12887.0,6473.0,2929.0,5784.0,3622.0,836.0,2938.0,2921.0,11470.0,46259.0
G_2,8666.0,15025.0,0.0,7910.0,10012.0,12158.0,5106.0,12151.0,4416.0,5794.0,12133.0,13612.0,2227.0,8668.0,12215.0,9327.0,11534.0,14265.0,12207.0,12189.0,3614.0,31262.0
G_3,838.0,7203.0,7910.0,0.0,2201.0,4345.0,2922.0,4321.0,3637.0,2197.0,4326.0,5790.0,5773.0,860.0,4374.0,1507.0,3713.0,6422.0,4381.0,4366.0,4354.0,39146.0
G_4,1538.0,5087.0,10012.0,2201.0,0.0,2233.0,5032.0,2230.0,5747.0,4327.0,2213.0,3660.0,7868.0,1530.0,2278.0,783.0,1595.0,4326.0,2275.0,2258.0,6451.0,41244.0
G_5,3622.0,2957.0,12158.0,4345.0,2233.0,0.0,7180.0,108.0,7900.0,6477.0,93.0,1542.0,10031.0,3626.0,159.0,2932.0,852.0,2206.0,139.0,108.0,8600.0,43398.0
G_6,3657.0,10031.0,5106.0,2922.0,5032.0,7180.0,0.0,7169.0,850.0,824.0,7158.0,8608.0,2970.0,3686.0,7222.0,4326.0,6531.0,9276.0,7223.0,7204.0,1537.0,36344.0
G_7,3640.0,2958.0,12151.0,4321.0,2230.0,108.0,7169.0,0.0,7867.0,6440.0,83.0,1534.0,10017.0,3627.0,158.0,2906.0,844.0,2193.0,127.0,127.0,8588.0,43379.0
G_8,4377.0,10742.0,4416.0,3637.0,5747.0,7900.0,850.0,7867.0,0.0,1505.0,7871.0,9330.0,2267.0,4381.0,7931.0,5045.0,7243.0,10001.0,7928.0,7918.0,868.0,35652.0
G_9,2962.0,9323.0,5794.0,2197.0,4327.0,6477.0,824.0,6440.0,1505.0,0.0,6447.0,7906.0,3673.0,2959.0,6499.0,3620.0,5828.0,8563.0,6492.0,6492.0,2240.0,37033.0
G_10,3622.0,2956.0,12133.0,4326.0,2213.0,93.0,7158.0,83.0,7871.0,6447.0,0.0,1526.0,10002.0,3613.0,156.0,2902.0,837.0,2191.0,135.0,124.0,8573.0,43374.0
G_11,5046.0,1536.0,13612.0,5790.0,3660.0,1542.0,8608.0,1534.0,9330.0,7906.0,1526.0,0.0,11465.0,5066.0,1557.0,4342.0,2234.0,823.0,1550.0,1535.0,10040.0,44849.0
G_12,6527.0,12887.0,2227.0,5773.0,7868.0,10031.0,2970.0,10017.0,2267.0,3673.0,10002.0,11465.0,0.0,6513.0,10060.0,7186.0,9369.0,12130.0,10055.0,10043.0,1483.0,33457.0
G_13,137.0,6473.0,8668.0,860.0,1530.0,3626.0,3686.0,3627.0,4381.0,2959.0,3613.0,5066.0,6513.0,0.0,3647.0,823.0,2959.0,5747.0,3635.0,3629.0,5113.0,39901.0
G_14,3652.0,2929.0,12215.0,4374.0,2278.0,159.0,7222.0,158.0,7931.0,6499.0,156.0,1557.0,10060.0,3647.0,0.0,2961.0,857.0,2193.0,129.0,124.0,8661.0,43453.0
G_15,829.0,5784.0,9327.0,1507.0,783.0,2932.0,4326.0,2906.0,5045.0,3620.0,2902.0,4342.0,7186.0,823.0,2961.0,0.0,2289.0,5018.0,2964.0,2953.0,5762.0,40567.0
G_16,2969.0,3622.0,11534.0,3713.0,1595.0,852.0,6531.0,844.0,7243.0,5828.0,837.0,2234.0,9369.0,2959.0,857.0,2289.0,0.0,2935.0,839.0,820.0,7971.0,42764.0
G_17,5729.0,836.0,14265.0,6422.0,4326.0,2206.0,9276.0,2193.0,10001.0,8563.0,2191.0,823.0,12130.0,5747.0,2193.0,5018.0,2935.0,0.0,2207.0,2204.0,10711.0,45502.0
G_18,3645.0,2938.0,12207.0,4381.0,2275.0,139.0,7223.0,127.0,7928.0,6492.0,135.0,1550.0,10055.0,3635.0,129.0,2964.0,839.0,2207.0,0.0,111.0,8642.0,43440.0
G_19,3627.0,2921.0,12189.0,4366.0,2258.0,108.0,7204.0,127.0,7918.0,6492.0,124.0,1535.0,10043.0,3629.0,124.0,2953.0,820.0,2204.0,111.0,0.0,8633.0,43429.0
G_20,5099.0,11470.0,3614.0,4354.0,6451.0,8600.0,1537.0,8588.0,868.0,2240.0,8573.0,10040.0,1483.0,5113.0,8661.0,5762.0,7971.0,10711.0,8642.0,8633.0,0.0,34849.0
G_21,39910.0,46259.0,31262.0,39146.0,41244.0,43398.0,36344.0,43379.0,35652.0,37033.0,43374.0,44849.0,33457.0,39901.0,43453.0,40567.0,42764.0,45502.0,43440.0,43429.0,34849.0,0.0
