,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42
G_base,0.0,279.0,213.0,150.0,213.0,256.0,261.0,260.0,20.0,85.0,183.0,283.0,214.0,194.0,173.0,268.0,221.0,299.0,245.0,343.0,287.0,312.0,172.0,222.0,226.0,267.0,198.0,244.0,237.0,230.0,282.0,224.0,180.0,221.0,190.0,221.0,246.0,182.0,213.0,165.0,221.0,282.0,1103.0
G_1,279.0,0.0,218.0,233.0,203.0,174.0,258.0,343.0,260.0,318.0,205.0,368.0,354.0,234.0,248.0,213.0,202.0,291.0,225.0,294.0,329.0,328.0,312.0,251.0,258.0,185.0,286.0,399.0,225.0,322.0,331.0,346.0,299.0,266.0,257.0,235.0,275.0,230.0,249.0,227.0,223.0,292.0,1224.0
G_2,213.0,218.0,0.0,139.0,221.0,209.0,176.0,267.0,204.0,229.0,192.0,330.0,275.0,173.0,211.0,224.0,230.0,299.0,162.0,313.0,238.0,325.0,213.0,208.0,206.0,211.0,211.0,323.0,223.0,265.0,261.0,240.0,216.0,197.0,193.0,174.0,226.0,178.0,193.0,175.0,175.0,283.0,1117.0
G_3,150.0,233.0,139.0,0.0,176.0,205.0,164.0,290.0,147.0,171.0,155.0,298.0,252.0,104.0,183.0,214.0,182.0,277.0,171.0,297.0,253.0,294.0,200.0,207.0,180.0,205.0,219.0,300.0,204.0,254.0,221.0,235.0,146.0,169.0,92.0,150.0,204.0,106.0,170.0,130.0,158.0,285.0,1063.0
G_4,213.0,203.0,221.0,176.0,0.0,124.0,249.0,363.0,199.0,264.0,138.0,269.0,329.0,162.0,249.0,170.0,116.0,286.0,221.0,274.0,312.0,309.0,286.0,242.0,260.0,118.0,249.0,384.0,181.0,319.0,334.0,310.0,213.0,252.0,184.0,240.0,256.0,178.0,241.0,190.0,182.0,322.0,1214.0
G_5,256.0,174.0,209.0,205.0,124.0,0.0,249.0,327.0,237.0,299.0,160.0,329.0,344.0,199.0,240.0,181.0,158.0,245.0,206.0,269.0,287.0,266.0,273.0,232.0,231.0,136.0,254.0,384.0,202.0,285.0,290.0,301.0,253.0,253.0,237.0,208.0,262.0,212.0,237.0,221.0,165.0,280.0,1165.0
G_6,261.0,258.0,176.0,164.0,249.0,249.0,0.0,346.0,258.0,293.0,236.0,348.0,281.0,218.0,273.0,259.0,257.0,330.0,186.0,339.0,292.0,379.0,262.0,270.0,262.0,220.0,260.0,379.0,261.0,320.0,313.0,312.0,161.0,261.0,205.0,223.0,250.0,195.0,257.0,226.0,254.0,343.0,1124.0
G_7,260.0,343.0,267.0,290.0,363.0,327.0,346.0,0.0,258.0,212.0,305.0,435.0,303.0,319.0,322.0,381.0,369.0,369.0,310.0,424.0,319.0,262.0,289.0,338.0,325.0,363.0,291.0,272.0,380.0,312.0,253.0,345.0,300.0,371.0,346.0,271.0,359.0,332.0,315.0,308.0,286.0,250.0,1099.0
G_8,20.0,260.0,204.0,147.0,199.0,237.0,258.0,258.0,0.0,85.0,177.0,283.0,227.0,194.0,165.0,252.0,207.0,291.0,231.0,329.0,277.0,312.0,182.0,211.0,221.0,253.0,190.0,254.0,224.0,221.0,282.0,226.0,174.0,228.0,177.0,221.0,241.0,170.0,209.0,169.0,218.0,280.0,1089.0
G_9,85.0,318.0,229.0,171.0,264.0,299.0,293.0,212.0,85.0,0.0,220.0,351.0,227.0,209.0,218.0,313.0,268.0,333.0,273.0,386.0,323.0,235.0,193.0,267.0,245.0,312.0,240.0,220.0,285.0,237.0,207.0,251.0,210.0,261.0,229.0,218.0,289.0,213.0,233.0,190.0,222.0,224.0,1004.0
