,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_base,0.0,313.0,96.0,291.0,335.0,104.0,235.0,416.0,159.0,384.0,74.0,297.0,358.0,339.0,202.0,64.0,276.0,390.0,130.0,490.0,111.0,183.0,46.0,71.0,258.0,98.0,131.0,167.0,101.0,122.0,139.0,333.0,367.0,509.0,511.0,411.0,219.0,174.0,121.0,182.0,124.0,89.0,246.0,178.0,82.0,52.0,109.0,275.0,881.0,182.0,271.0,1160.0
G_1,313.0,0.0,243.0,57.0,52.0,405.0,108.0,134.0,182.0,86.0,288.0,56.0,662.0,52.0,157.0,366.0,582.0,110.0,421.0,797.0,249.0,158.0,338.0,285.0,86.0,244.0,229.0,184.0,400.0,423.0,208.0,638.0,674.0,228.0,229.0,721.0,122.0,481.0,421.0,483.0,417.0,266.0,114.0,475.0,264.0,305.0,405.0,68.0,585.0,479.0,76.0,860.0
G_2,96.0,243.0,0.0,211.0,258.0,179.0,162.0,332.0,84.0,306.0,68.0,218.0,435.0,260.0,122.0,144.0,356.0,312.0,204.0,573.0,30.0,107.0,124.0,70.0,186.0,28.0,52.0,87.0,185.0,207.0,63.0,418.0,456.0,432.0,435.0,494.0,145.0,257.0,206.0,263.0,204.0,44.0,163.0,261.0,43.0,88.0,179.0,203.0,801.0,260.0,196.0,1080.0
G_3,291.0,57.0,211.0,0.0,69.0,377.0,88.0,136.0,166.0,113.0,262.0,28.0,638.0,69.0,113.0,336.0,561.0,117.0,405.0,772.0,219.0,146.0,316.0,265.0,74.0,221.0,212.0,169.0,377.0,398.0,180.0,614.0,653.0,233.0,237.0,693.0,110.0,456.0,402.0,458.0,403.0,245.0,85.0,459.0,238.0,287.0,377.0,49.0,606.0,462.0,43.0,880.0
G_4,335.0,52.0,258.0,69.0,0.0,422.0,127.0,111.0,202.0,63.0,303.0,71.0,678.0,31.0,170.0,380.0,598.0,87.0,440.0,818.0,266.0,181.0,362.0,300.0,109.0,262.0,244.0,203.0,421.0,439.0,220.0,659.0,695.0,204.0,195.0,737.0,146.0,498.0,441.0,499.0,443.0,276.0,122.0,501.0,283.0,322.0,427.0,83.0,567.0,492.0,87.0,840.0
G_5,104.0,405.0,179.0,377.0,422.0,0.0,325.0,499.0,245.0,468.0,145.0,380.0,288.0,422.0,282.0,70.0,212.0,478.0,57.0,421.0,182.0,277.0,89.0,150.0,345.0,182.0,206.0,243.0,30.0,50.0,224.0,266.0,304.0,593.0,596.0,338.0,303.0,107.0,50.0,115.0,48.0,161.0,325.0,111.0,164.0,127.0,27.0,363.0,967.0,110.0,357.0,1240.0
G_6,235.0,108.0,162.0,88.0,127.0,325.0,0.0,208.0,104.0,168.0,207.0,80.0,582.0,131.0,72.0,282.0,498.0,180.0,347.0,721.0,166.0,85.0,261.0,208.0,46.0,163.0,154.0,104.0,321.0,345.0,117.0,560.0,596.0,299.0,302.0,636.0,47.0,399.0,342.0,396.0,348.0,186.0,33.0,398.0,181.0,224.0,329.0,74.0,665.0,405.0,72.0,940.0
G_7,416.0,134.0,332.0,136.0,111.0,499.0,208.0,0.0,285.0,75.0,385.0,147.0,757.0,98.0,241.0,458.0,680.0,43.0,522.0,896.0,341.0,267.0,436.0,384.0,191.0,345.0,323.0,287.0,498.0,521.0,301.0,736.0,775.0,121.0,119.0,815.0,227.0,579.0,518.0,582.0,523.0,365.0,202.0,580.0,361.0,405.0,491.0,165.0,487.0,581.0,161.0,760.0
G_8,159.0,182.0,84.0,166.0,202.0,245.0,104.0,285.0,0.0,245.0,136.0,164.0,506.0,203.0,68.0,204.0,424.0,259.0,264.0,641.0,91.0,48.0,189.0,123.0,118.0,80.0,61.0,25.0,244.0,258.0,46.0,480.0,523.0,379.0,379.0,562.0,89.0,319.0,262.0,320.0,264.0,102.0,102.0,319.0,103.0,144.0,246.0,148.0,743.0,320.0,146.0,1020.0
G_9,384.0,86.0,306.0,113.0,63.0,468.0,168.0,75.0,245.0,0.0,346.0,113.0,728.0,73.0,211.0,423.0,649.0,49.0,485.0,862.0,310.0,223.0,405.0,348.0,150.0,311.0,287.0,242.0,462.0,485.0,266.0,703.0,741.0,170.0,165.0,785.0,192.0,545.0,489.0,546.0,489.0,325.0,163.0,541.0,326.0,369.0,470.0,125.0,526.0,543.0,126.0,800.0
G_10,74.0,288.0,68.0,262.0,303.0,145.0,207.0,385.0,136.0,346.0,0.0,267.0,404.0,306.0,172.0,113.0,337.0,359.0,168.0,539.0,71.0,157.0,92.0,40.0,229.0,75.0,98.0,127.0,144.0,171.0,116.0,388.0,423.0,477.0,478.0,469.0,188.0,236.0,169.0,233.0,171.0,51.0,207.0,226.0,53.0,62.0,141.0,247.0,846.0,227.0,239.0,1120.0
G_11,297.0,56.0,218.0,28.0,71.0,380.0,80.0,147.0,164.0,113.0,267.0,0.0,645.0,71.0,122.0,345.0,557.0,119.0,407.0,779.0,229.0,148.0,319.0,267.0,69.0,225.0,205.0,169.0,378.0,403.0,179.0,614.0,658.0,239.0,244.0,695.0,101.0,463.0,400.0,462.0,405.0,242.0,87.0,460.0,239.0,290.0,383.0,54.0,607.0,460.0,46.0,880.0
G_12,358.0,662.0,435.0,638.0,678.0,288.0,582.0,757.0,506.0,728.0,404.0,645.0,0.0,681.0,536.0,329.0,112.0,736.0,270.0,173.0,449.0,524.0,350.0,403.0,601.0,443.0,469.0,501.0,291.0,266.0,482.0,59.0,61.0,854.0,856.0,100.0,560.0,208.0,267.0,207.0,268.0,426.0,583.0,211.0,432.0,382.0,286.0,624.0,1222.0,217.0,619.0,1500.0
G_13,339.0,52.0,260.0,69.0,31.0,422.0,131.0,98.0,203.0,73.0,306.0,71.0,681.0,0.0,162.0,381.0,603.0,88.0,444.0,816.0,262.0,190.0,359.0,303.0,114.0,268.0,240.0,199.0,417.0,444.0,223.0,657.0,697.0,198.0,197.0,738.0,145.0,497.0,444.0,502.0,441.0,285.0,120.0,498.0,284.0,324.0,417.0,92.0,569.0,498.0,86.0,840.0
G_14,202.0,157.0,122.0,113.0,170.0,282.0,72.0,241.0,68.0,211.0,172.0,122.0,536.0,162.0,0.0,241.0,461.0,219.0,313.0,678.0,130.0,53.0,220.0,168.0,94.0,128.0,110.0,71.0,281.0,307.0,83.0,517.0,562.0,334.0,338.0,602.0,46.0,359.0,303.0,363.0,305.0,150.0,63.0,364.0,145.0,186.0,284.0,112.0,705.0,369.0,102.0,980.0
G_15,64.0,366.0,144.0,336.0,380.0,70.0,282.0,458.0,204.0,423.0,113.0,345.0,329.0,381.0,241.0,0.0,248.0,430.0,96.0,463.0,144.0,231.0,53.0,116.0,303.0,144.0,172.0,204.0,67.0,89.0,188.0,304.0,341.0,553.0,558.0,385.0,265.0,145.0,89.0,153.0,93.0,123.0,280.0,141.0,128.0,91.0,66.0,325.0,923.0,147.0,316.0,1200.0
G_16,276.0,582.0,356.0,561.0,598.0,212.0,498.0,680.0,424.0,649.0,337.0,557.0,112.0,603.0,461.0,248.0,0.0,654.0,197.0,252.0,365.0,443.0,272.0,326.0,518.0,361.0,386.0,429.0,213.0,188.0,396.0,93.0,129.0,773.0,775.0,162.0,480.0,122.0,182.0,129.0,188.0,345.0,507.0,134.0,344.0,304.0,215.0,541.0,1145.0,141.0,538.0,1420.0
G_17,390.0,110.0,312.0,117.0,87.0,478.0,180.0,43.0,259.0,49.0,359.0,119.0,736.0,88.0,219.0,430.0,654.0,0.0,501.0,874.0,319.0,243.0,414.0,358.0,163.0,318.0,300.0,262.0,472.0,497.0,278.0,714.0,749.0,135.0,146.0,794.0,201.0,555.0,496.0,554.0,502.0,333.0,181.0,560.0,338.0,382.0,474.0,147.0,509.0,561.0,137.0,780.0
G_18,130.0,421.0,204.0,405.0,440.0,57.0,347.0,522.0,264.0,485.0,168.0,407.0,270.0,444.0,313.0,96.0,197.0,501.0,0.0,404.0,210.0,293.0,111.0,173.0,361.0,206.0,235.0,267.0,55.0,41.0,255.0,242.0,286.0,613.0,615.0,329.0,328.0,95.0,41.0,99.0,27.0,189.0,344.0,96.0,196.0,149.0,56.0,382.0,983.0,89.0,386.0,1260.0
G_19,490.0,797.0,573.0,772.0,818.0,421.0,721.0,896.0,641.0,862.0,539.0,779.0,173.0,816.0,678.0,463.0,252.0,874.0,404.0,0.0,582.0,671.0,482.0,543.0,744.0,574.0,602.0,644.0,427.0,405.0,622.0,185.0,149.0,988.0,992.0,109.0,701.0,346.0,406.0,352.0,404.0,560.0,719.0,349.0,560.0,524.0,423.0,755.0,1364.0,349.0,754.0,1640.0
G_20,111.0,249.0,30.0,219.0,266.0,182.0,166.0,341.0,91.0,310.0,71.0,229.0,449.0,262.0,130.0,144.0,365.0,319.0,210.0,582.0,0.0,115.0,128.0,68.0,191.0,31.0,57.0,85.0,188.0,206.0,75.0,422.0,462.0,439.0,438.0,501.0,147.0,260.0,207.0,266.0,205.0,53.0,165.0,268.0,49.0,87.0,187.0,212.0,809.0,272.0,207.0,1080.0
G_21,183.0,158.0,107.0,146.0,181.0,277.0,85.0,267.0,48.0,223.0,157.0,148.0,524.0,190.0,53.0,231.0,443.0,243.0,293.0,671.0,115.0,0.0,207.0,146.0,110.0,113.0,93.0,50.0,271.0,287.0,66.0,508.0,547.0,362.0,363.0,588.0,70.0,344.0,292.0,343.0,290.0,127.0,93.0,347.0,129.0,167.0,274.0,127.0,722.0,346.0,134.0,1000.0
G_22,46.0,338.0,124.0,316.0,362.0,89.0,261.0,436.0,189.0,405.0,92.0,319.0,350.0,359.0,220.0,53.0,272.0,414.0,111.0,482.0,128.0,207.0,0.0,86.0,289.0,128.0,152.0,190.0,89.0,113.0,169.0,324.0,358.0,535.0,537.0,404.0,242.0,171.0,110.0,177.0,115.0,108.0,261.0,169.0,105.0,67.0,87.0,294.0,906.0,167.0,301.0,1180.0
G_23,71.0,285.0,70.0,265.0,300.0,150.0,208.0,384.0,123.0,348.0,40.0,267.0,403.0,303.0,168.0,116.0,326.0,358.0,173.0,543.0,68.0,146.0,86.0,0.0,233.0,72.0,88.0,126.0,145.0,164.0,113.0,389.0,423.0,480.0,482.0,466.0,182.0,226.0,166.0,229.0,168.0,51.0,207.0,229.0,54.0,41.0,153.0,245.0,845.0,229.0,251.0,1120.0
G_24,258.0,86.0,186.0,74.0,109.0,345.0,46.0,191.0,118.0,150.0,229.0,69.0,601.0,114.0,94.0,303.0,518.0,163.0,361.0,744.0,191.0,110.0,289.0,233.0,0.0,178.0,169.0,126.0,344.0,363.0,147.0,577.0,621.0,280.0,286.0,659.0,68.0,419.0,364.0,421.0,365.0,203.0,47.0,419.0,204.0,247.0,348.0,52.0,643.0,423.0,52.0,920.0
G_25,98.0,244.0,28.0,221.0,262.0,182.0,163.0,345.0,80.0,311.0,75.0,225.0,443.0,268.0,128.0,144.0,361.0,318.0,206.0,574.0,31.0,113.0,128.0,72.0,178.0,0.0,54.0,92.0,190.0,206.0,69.0,420.0,457.0,433.0,439.0,493.0,148.0,255.0,206.0,260.0,201.0,47.0,171.0,261.0,42.0,86.0,185.0,205.0,805.0,266.0,206.0,1080.0
